utt_id,path,text,text_enhanced,spkid,start_s,end_s,problems
110622_A1203985281#20932#9005548066574165,110622/A1203985281#20932#9005548066574165.wav,MỞ NHẠC SÀN,MỞ NHẠC SÀN,110622,1.851055555555556,2.533765074624449,['Đọc khó nghe']
110622_A1203985281#20932#9005548721757349,110622/A1203985281#20932#9005548721757349.wav,MỞ NHẠC,MỞ NHẠC,110622,2.738843589827461,3.1353790083884108,"['Tạp âm', 'Đọc khó nghe']"
110622_A1203985281#20932#9005548868847829,110622/A1203985281#20932#9005548868847829.wav,NGỦ À,NGỦ À,110622,2.332557795135383,2.9113959361610244,['Đọc khó nghe']
110622_A1203985281#20932#9005548626448752,110622/A1203985281#20932#9005548626448752.wav,MỞ NHẠC SÀN,MỞ NHẠC SÀN,110622,1.3983217592592594,2.189987001424502,['Đọc khó nghe']
110622_A1210662638#20931#9005548539915847,110622/A1210662638#20931#9005548539915847.wav,BẬT NHẠC,BẬT NHẠC,110622,1.3846737891737897,2.249866096866098,"['Tạp âm', 'Đọc khó nghe']"
110622_A1210662638#20931#9005548698812420,110622/A1210662638#20931#9005548698812420.wav,TẮT ĐÈN PHÒNG W C,TẮT ĐÈN PHÒNG WC,110622,1.6225056980056982,3.919488603988603,"['Tạp âm', 'Đọc khó nghe']"
110622_A1210662638#20931#9005548529297654,110622/A1210662638#20931#9005548529297654.wav,TẮT ĐÈN BẾP,TẮT ĐÈN BẾP,110622,1.520547008547008,2.566993589743588,['Đọc khó nghe']
110622_A1204694956#20923#9005547953205600,110622/A1204694956#20923#9005547953205600.wav,NGÀY HÔM NAY DỊCH SANG TIẾNG ANH,NGÀY HÔM NAY DỊCH SANG TIẾNG ANH,110622,2.8819786324786323,5.151713675213676,['Tạp âm']
110622_A1204694956#20923#9005547945801141,110622/A1204694956#20923#9005547945801141.wav,BÂY GIỜ LÀ MẤY GIỜ DỊCH SANG TIẾNG HÀN,BÂY GIỜ LÀ MẤY GIỜ DỊCH SANG TIẾNG HÀN,110622,1.9729871794871796,4.388231060606061,['Tạp âm']
110622_A1204694956#20923#9005547945776871,110622/A1204694956#20923#9005547945776871.wav,KIÊN YÊU CHÁU DỊCH SANG TIẾNG ANH,KIÊN YÊU CHÁU DỊCH SANG TIẾNG ANH,110622,2.048435897435897,4.050309149184149,['Đọc khó nghe']
110622_A1203152272#20922#9005548477549710,110622/A1203152272#20922#9005548477549710.wav,H T MÔ BAI,HT MOBILE,110622,2.185805655804456,3.093817188348364,['Đọc khó nghe']
110622_A1113010823#3977#9005549247073420,110622/A1113010823#3977#9005549247073420.wav,MỞ TRUYỆN CỔ TÍCH,MỞ TRUYỆN CỔ TÍCH,110622,1.2380854700854702,3.815623931623932,"['Tạp âm', 'Đọc khó nghe']"
110622_A1113010823#3977#9005548530203490,110622/A1113010823#3977#9005548530203490.wav,MỞ BÀI HÁT DỪNG,MỞ BÀI HÁT DỪNG,110622,1.211869658119658,2.8593205128205117,"['Tạp âm', 'Đọc khó nghe']"
110622_A1118204460#20920#9005548731051775,110622/A1118204460#20920#9005548731051775.wav,BÀI HÁT MỘT CON VỊT XÒE RA HAI CÁI CÁNH,BÀI HÁT MỘT CON VỊT XÒE RA HAI CÁI CÁNH,110622,2.456112001424502,6.534338675213676,['Tạp âm']
110622_A1118204460#20920#9005548735290889,110622/A1118204460#20920#9005548735290889.wav,THỜI TIẾT HÔM NAY TẠI TÂY NINH,THỜI TIẾT HÔM NAY TẠI TÂY NINH,110622,1.51997792022792,5.237761752136753,['Tạp âm']
110622_A1118204460#20920#9005548735956386,110622/A1118204460#20920#9005548735956386.wav,TẮT TIN TỨC,TẮT TIN TỨC,110622,1.414266203703704,2.4518153490028496,['Tạp âm']
110622_A1118204460#20920#9005548455468957,110622/A1118204460#20920#9005548455468957.wav,TẮT ĐÈN DỪNG MÀ,TẮT ĐÈN DỪNG MÀ,110622,1.5644088319088325,2.9560541310541315,['Tạp âm']
110622_A1118204460#20920#9005548455735790,110622/A1118204460#20920#9005548455735790.wav,TẮT ĐÈN TẦNG MỘT,TẮT ĐÈN TẦNG 1,110622,2.7982589031339025,4.46533173076923,"['Tạp âm', 'Có từ tiếng Anh']"
110622_A1118204460#20920#9005548648725677,110622/A1118204460#20920#9005548648725677.wav,TẮT ĐÈN,TẮT ĐÈN,110622,1.256624465811966,1.903009678762856,['Tạp âm']
110622_A1118204460#20920#9005548727009132,110622/A1118204460#20920#9005548727009132.wav,TRỜI LẠNH,TRỜI LẠNH,110622,1.9,3.104013480154106,['Tạp âm']
110622_A1118204460#20920#9005548726222988,110622/A1118204460#20920#9005548726222988.wav,MAI CA ƠI,MAIKA ƠI,110622,1.308876068376068,2.1742049501424496,['Có từ tiếng Anh']
110622_A1118204460#20920#9005548732269408,110622/A1118204460#20920#9005548732269408.wav,HẾ LÔ,HELLO,110622,1.6120441595441597,2.651369344246464,"['Tạp âm', 'Có từ tiếng Anh']"
110622_A1118204460#20920#9005548728139324,110622/A1118204460#20920#9005548728139324.wav,ĐI NGỦ,ĐI NGỦ,110622,1.4168872863247863,2.1636393380924632,"['Tạp âm', 'Đọc khó nghe']"
110622_A1118204460#20920#9005548728023959,110622/A1118204460#20920#9005548728023959.wav,ĐI LẠC,ĐI LẠC,110622,1.5702606837606834,2.5601309575546862,"['Tạp âm', 'Đọc khó nghe']"
110622_A1118204460#20920#9005548728038483,110622/A1118204460#20920#9005548728038483.wav,TẮT QUẠT ĐỨNG,TẮT QUẠT ĐỨNG,110622,2.17641168091168,3.177655766029423,"['Tạp âm', 'Đọc khó nghe']"
110622_A1118204460#20920#9005548873628344,110622/A1118204460#20920#9005548873628344.wav,BẬT ĐÈN PHÒNG KHÁCH,BẬT ĐÈN PHÒNG KHÁCH,110622,2.45,3.7848247863247866,['Tạp âm']
110622_A1118204460#20920#9005548712914757,110622/A1118204460#20920#9005548712914757.wav,TẮT ĐÈN TÔ LÉT,TẮT ĐÈN TOILET,110622,1.7024743589743587,3.14379865967366,['Có từ tiếng Anh']
110622_A1118204460#20920#9005548727219470,110622/A1118204460#20920#9005548727219470.wav,NGƯỜI ĐẸP,NGƯỜI ĐẸP,110622,1.9091574074074076,2.911685185185185,['Đọc khó nghe']
110622_A1203345170#20916#9005548008345872,110622/A1203345170#20916#9005548008345872.wav,ẾCH KÊU,ẾCH KÊU,110622,1.8426050569800576,2.412496972934473,['Tạp âm']
110622_A1203345170#20916#9005548796365030,110622/A1203345170#20916#9005548796365030.wav,MỞ TIẾNG TO LÊN,MỞ TIẾNG TO LÊN,110622,2.472233796296297,4.104996438746439,['Tạp âm']
